1,James,turner,french,europian,2/03/1995,male,O-,adhd,james@gmail.com,027 894 9443,unsure,wellington ,ads,ads
2,ben,smith,irish,irish,5/08/1988,male,B-,none,bensmith@gmail.com,025 6789 125,unsure,auckland,ams,q3
3,will,legitich,croatian,slavic,6/02/1992,male,A+,cancer,leg.tch@gmail.com,046 7380 333,unsure,wellington ,willieum,aa
4,josiah,dawson,south africa,south african,5/11/2002,male,AB-,depressed,josdson@gmail.com,027 535 8388,unsure,wellington ,dawsiah,password
5,chrissy,floodsmith,new zealand,europian,9/05/2001,female,B+,covid ,chrissy69@gmail.com,893 334 7390,23/06/2022,wellington,j,j
6,trish,hawley,australian,europian,11/03/1988,female,O-,none,trishtefer@gmail.com,837 2844 884,unsure,dunedin,chrissy,hhatman
7,James,singh,indian,indian,12/02/2000,male,O+,herpies,james@gmail.com,021 2838 383,unsure,dunedin,abc,abc
8,trent,trotter,english,europian,22/01/1984,male,AB+,adhd,trotterdad@gmail.com,783 8349 959,unsure,auckland,trent,trent
9,ella,hawkins,australian,australian,7/01/2001,female,B-,diabetes,ella11@gmail.com,275726895,unsure,wellington ,el,vaders11
10,izzy,jones,spanish,new zealander,2/08/2002,female,A+,none,izzy@gmail.nz,027 637 6588,unsure,wellington ,apple,pies
11,Adam,McArdle,NZ,EU,13/09/2000,Male,O-,None,aafdssdf@sifis.com,20482525,unsure,auckland,Adam,McArdle
12,Addy,McArdle,EU,Eu,13-Sep,Male,O-,none,ggf@sggs.com,433647845,none,dunedin,Skiviper,alfiealfie
13,Adolf,MC,EU,EU,14/08/1976,EU,AB-,EU,email@test.com,021 0550 230, 24/07/2022,wellington,Adam,alfiealfie
14,Pete,Manham,NZ,caucasian,24/04/1989,male,B-,Pregnant,yoob@email.com,024 513 1241,28/05/2021,auckland,myaccount,password
15,James,Black,USA,caucasian,24/04/1989,male,B+,Grangrene ,james@email.com,024 535 1241,28/05/2021,auckland,jamjam,pwrd
16,Bob,smith,Singaporean,caucasian,24/06/1989,female,AB-,Monkeypox,bob@email.com,024 6533 141,28/05/2021,wellington,bobo,paswrd
17,Frank,Water,Chinese,caucasian,24/03/1989,male,AB-,Healthy ,frank@email.com,024 513 1241,28/05/2021,auckland,franko,pworddd
18,Jimbo,table,Japanese,caucasian,24/01/1989,male,A+,Healthy ,jimbo@email.com,024 513 1241,28/05/2021,wellington,jimbobo,perd
19,Ardle,Chair,Malaysian,caucasian,24/01/1989,male,AB+,Healthy ,ardle@email.com,024 513 1241,28/05/2021,auckland,ardlo,luke
20,Murph,cup,NZ,caucasian,24/09/1989,male,AB-,covid ,murph@email.com,024 54 1241,28/05/2021,dunedin,murpho,vader
21,Glen,coffee,NZ,caucasian,24/10/1989,male,O-,Healthy ,glen@email.com,024 46 1241,28/05/2021,auckland,gelno,obi
22,Shoe,tea,NZ,caucasian,24/06/1989,female,AB-,sad,shoe@email.com,024 565 1241,28/05/2021,dunedin,shoeo,jarjar
23,Apple,pen,NZ,caucasian,24/10/1989,male,O+,none,pen@email.com,024 538 141,28/05/2021,auckland,appleo,mouse
